Food,FoodSubcategory,Quantity,ServingSize(g),Fat(g),Calories
Burger,Cheese Burger,1,100 g,27.5,297
Burger,Beef Burger,1,100 g,10.09,264
Burger,Chicken Burger,1,100 g,14.81,286
Burger,Veggie Burger,1,100 g,12.48,261
French Fries,"French Fries, Oven Heated",1,117 g,3.39,133
French Fries,"French Fries, Fried",1,117 g,3.76,152
Apple,Red Apple Fruit,1,182 g,0.3,15
Apple,Green Apple Fruit,1,182 g,0.2,17
Apple Pie,Baked pie with apple fruit filling,1,28.4 g,3.1,95
Apple Pie,Baked pie with strawberry fruit filling,1,28.4 g,4.6,106
Biriyani,Chicken Biriyani,1,210 g,56,373
Biriyani,Vegetable Biryani,1,210 g,38,318
Biriyani,Tava Pulav Biriyani,1,210 g,41,350
Biriyani,Hydrabadi Biriyani,1,210 g,42,341
Pizza,"Cheese Pizza, Regular Crust 14""",1,865 g,78,2222
Pizza,"Chicken Pizza, Regular Crust 14""",1,875 g,62,2456
Pizza,"General any 3 Topping Pizza, Regular Crust 14""",1,853 g,83,2269
Pizza,"General any 3 Topping Pizza, Thin Crust 14""",1,751 g,53.7,2248
Cake,Chocolate Cake,1,1137 g,172,4215
Cake,Cheese Cake,1,1120 g,160,4220
Cake,Fruit Cake,1,1112 g,111,4096
Cake,"Fruit Cake, Sugar Free",1,1104 g,98,3956
Dosa,"Plain Dosa, Fried",1,156 g,33.4,392
Dosa,"Masala Dosa, Fried",1,212 g,41.6,415
Dosa,"Rava Masala Dosa, Fried",1,212 g,42,392
Noodles,Chicken Noodles,1,240 g,39,956
Noodles,Pork Noodles,1,240 g,32.3,925
Noodles,Vegetable Noodles,1,240 g,24,910
Coffee,Regular Coffee,1,37 g,0,52
Coffee,Cuppaccino,1,37 g,0,65
Coffee,Decaffinated,1,37 g,0,57
Coffee,Latte,1,37 g,0,66
Coffee,Espresso,1,37 g,0,62
